,zip,city,county,pop,ZIP,LAT,LNG,_merge,gundo_lat,gundo_long,Est_Dist_from_Home (Miles)
712,95367,Riverbank,Stanislaus,25072,95367,37.729282,-120.942905,both,33.92735,-118.41591,298.6893116
713,90274,Palos Verdes Peninsula,Los Angeles,25061,90274,33.780065,-118.372454,both,33.92735,-118.41591,10.48867333
714,92211,Palm Desert,Riverside,25056,92211,33.765401,-116.334205,both,33.92735,-118.41591,120.1067143
715,91775,San Gabriel,Los Angeles,25004,91775,34.115273,-118.088266,both,33.92735,-118.41591,22.84202634
716,95354,Modesto,Stanislaus,24923,95354,37.639029,-120.964772,both,33.92735,-118.41591,293.8433358
717,92119,San Diego,San Diego,24831,92119,32.817888,-117.031956,both,33.92735,-118.41591,110.8095351
718,92651,Laguna Beach,Orange,24800,92651,33.57093,-117.773042,both,33.92735,-118.41591,44.43729809
719,95054,Santa Clara,Santa Clara,24524,95054,37.393491,-121.96467,both,33.92735,-118.41591,311.7931561
720,90303,Inglewood,Los Angeles,24374,90303,33.939766,-118.331085,both,33.92735,-118.41591,4.943040022
721,95215,Stockton,San Joaquin,24326,95215,37.949421,-121.157283,both,33.92735,-118.41591,317.7029195
722,90740,Seal Beach,Orange,24307,90740,33.758405,-118.075043,both,33.92735,-118.41591,22.80377756
723,93041,Port Hueneme,Ventura,24208,93041,34.106896,-119.099535,both,33.92735,-118.41591,41.11313416
724,94619,Oakland,Alameda,24112,94619,37.790438,-122.140819,both,33.92735,-118.41591,339.0417935
725,92251,Imperial,Imperial,23970,92251,32.881449,-115.675459,both,33.92735,-118.41591,173.9810073
726,95746,Granite Bay,Placer,23934,95746,38.747526,-121.180092,both,33.92735,-118.41591,367.2007969
727,95776,Woodland,Yolo,23911,95776,38.698614,-121.699262,both,33.92735,-118.41591,377.2854493
728,90403,Santa Monica,Los Angeles,23902,90403,34.030755,-118.492101,both,33.92735,-118.41591,8.38165084
729,95531,Crescent City,Del Norte,23737,95531,41.819578,-124.065667,both,33.92735,-118.41591,626.6499466
730,94609,Oakland,Alameda,23726,94609,37.834403,-122.264368,both,33.92735,-118.41591,345.6783564
731,94024,Los Altos,Santa Clara,23675,94024,37.352234,-122.094399,both,33.92735,-118.41591,314.3815954
732,95969,Paradise,Butte,23572,95969,39.716846,-121.64618,both,33.92735,-118.41591,438.4846955
